Subject,Catalog,Section,Component,Session,MinUnits,Units,TotEnrl,CapEnrl,Instructor,Capacity,Room,Mtg Start,Mtg End,Days,Start Date,End Date,Term,Campus,Class Nbr,Total Credits,DUP,FULL,OVER
MTH, 161,G01H,LEC,1,3,3,11,24,"Maria Fagundez,Sergio",32,311,11:00:00 AM,12:15:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,24014,33,,,
MTH, 161,G03W,LEC,1,3,3,11,24,"Kelso,Elizabeth Ann",24,205,11:00:00 AM,12:15:00 PM,TR,1/9/2023,5/6/2023,2232,HT,39744,33,,,
MTH, 161,G20H,LEC,1,3,3,7,24,"Schmidt,Amy D",36,130,11:00:00 AM,12:15:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,24015,21,,,
MTH, 161,G21H,LEC,1,3,3,8,24,"Tessier,Paul Edward",28,406,9:30:00 AM,10:45:00 AM,TR,1/9/2023,5/6/2023,2232,MAIN,39749,24,,,
MTH, 162,01W,LEC,1,3,3,15,28,"Varbalow,Julia Lynne",40,328,11:00:00 AM,12:15:00 PM,MW,1/9/2023,5/6/2023,2232,HT,24293,45,,,
MTH, 162,20H,LEC,1,3,3,21,28,"Varbalow,Julia Lynne",29,314,11:00:00 AM,12:15:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,23966,63,,,
MTH, 162,D01,DED,1,3,3,7,28,"Varbalow,Julia Lynne",30,TUAL,,,,1/9/2023,5/6/2023,2232,HT,23643,21,,,
MTH, 162,D02,DED,8W2,3,3,23,28,"Edradan,Alberto Omni",30,TUAL,,,,3/13/2023,5/6/2023,2232,MAIN,23737,69,,,
MTH, 162,D20,DED,1,3,3,5,28,"Varbalow,Julia Lynne",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24139,15,,,
MTH, 162,DR01,DED,1,3,3,6,28,"Varbalow,Julia Lynne",30,TUAL,11:00:00 AM,12:15:00 PM,MW,1/9/2023,5/6/2023,2232,HT,23579,18,,,
MTH, 162,DR20,DED,1,3,3,2,28,"Varbalow,Julia Lynne",30,TUAL,11:00:00 AM,12:15:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,24378,6,,,
MTH, 245,01H,LEC,1,3,3,28,28,"Tessier,Paul Edward",40,134,11:00:00 AM,12:15:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,23624,84,,FULL,
MTH, 245,01W,LEC,1,3,3,24,28,"Kelso,Elizabeth Ann",40,328,9:30:00 AM,10:45:00 AM,MW,1/9/2023,5/6/2023,2232,HT,23623,72,,,
MTH, 245,02H,LEC,1,3,3,9,28,"Tessier,Paul Edward",40,134,9:30:00 AM,10:45:00 AM,MW,1/9/2023,5/6/2023,2232,MAIN,52415,27,,,
MTH, 245,D01,DED,1,3,3,26,28,"Golub,Tatiana",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24150,78,,,
MTH, 245,D02,DED,1,3,3,17,28,"Golub,Tatiana",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,23908,51,,,
MTH, 245,D03,DED,1,3,3,17,28,"Tessier,Paul Edward",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24131,51,,,
MTH, 245,D04,DED,8W1,3,3,14,28,"Kankanamge,Duminda G J",30,TUAL,,,,1/9/2023,3/4/2023,2232,MAIN,24132,42,,,
MTH, 245,D05,DED,8W2,3,3,4,28,"Kankanamge,Duminda G J",30,TUAL,,,,3/13/2023,5/6/2023,2232,MAIN,23625,12,,,
MTH, 245,DR20,DED,1,3,3,9,28,"Golub,Tatiana",30,TUAL,8:00:00 AM,9:15:00 AM,TR,1/9/2023,5/6/2023,2232,MAIN,24010,27,,,
MTH, 261,01H,LEC,1,3,3,15,27,"Filsinger,Michael D",29,314,2:00:00 PM,3:15:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,24011,45,,,
MTH, 261,20H,LEC,1,3,3,6,28,"Filsinger,Michael D",40,139,9:30:00 AM,10:45:00 AM,TR,1/9/2023,5/6/2023,2232,MAIN,52388,18,,,
MTH, 261,C90H,LEC,1,3,3,1,1,"Filsinger,Michael D",29,314,2:00:00 PM,3:15:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,52117,3,,FULL,
MTH, 261,D01,DED,1,3,3,6,27,"Filsinger,Michael D",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,23768,18,,,
MTH, 261,D02,DED,1,3,3,23,27,"Struble,Elizabeth Marie",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24379,69,,,
MTH, 261,D03,DED,1,3,3,8,28,"Edradan,Alberto Omni",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,54405,24,,,
MTH, 261,DR01,DED,1,3,3,6,27,"Filsinger,Michael D",30,TUAL,2:00:00 PM,3:15:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,24464,18,,,
MTH, 263,20H,LEC,1,4,4,27,28,"Varbalow,Julia Lynne",48,141,2:00:00 PM,3:50:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,23580,108,,,
MTH, 263,D01,DED,1,4,4,8,28,"Golub,Tatiana",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,23642,32,,,
MTH, 263,D02,DED,12W,4,4,5,28,"Kankanamge,Duminda G J",30,TUAL,,,,2/7/2023,5/8/2023,2232,MAIN,24626,20,,,
MTH, 263,DR40,DED,1,4,4,7,28,"Varbalow,Julia Lynne",30,TUAL,5:00:00 PM,6:50:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,23626,28,,,
MTH, 264,D01,DED,1,4,4,22,28,"Indika,S H Sathish",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,23640,88,,,
MTH, 264,DR40,DED,1,4,4,25,28,"Maria Fagundez,Sergio",30,TUAL,7:00:00 PM,8:50:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,23967,100,,,
MTH, 265,DR50,DED,1,4,4,12,28,"Riggs,Robert Earl",30,TUAL,7:00:00 PM,8:50:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,39786,48,,,
MTH, 266,40H,LEC,1,3,3,2,28,"Tessier,Paul Edward",32,311,5:30:00 PM,6:45:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,24561,6,,,
MTH, 266,D40,DED,1,3,3,6,28,"Tessier,Paul Edward",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24601,18,,,
